symbol,date,open,high,low,close,adjusted_close,volume
GC=F,"Jan 18, 2019",1281.3,1281.3,1281.3,1281.3,1281.3,3
GC=F,"Jan 17, 2019",1291.6,1292.7,1288.5,1291,1291,10
GC=F,"Jan 16, 2019",1291.6,1291.6,1291.6,1291.6,1291.6,2
GC=F,"Jan 15, 2019",1290.1,1292.7,1286.2,1286.2,1286.2,3
GC=F,"Jan 14, 2019",1292.4,1293.9,1289.1,1289.1,1289.1,7
GC=F,"Jan 11, 2019",,,NA,,None,
GC=F,"Jan 11, 2019",1291.2,1291.2,1286.3,1287.1,1287.1,11
GC=F,"Jan 10, 2019",1284.7,1284.7,1284.7,1284.7,1284.7,-
GC=F,"Jan 09, 2019",1279.4,1289.3,1279.2,1289.3,1289.3,102
GC=F,"Jan 08, 2019",1280.5,1283.2,1278.2,1283.2,1283.2,54
GC=F,"Jan 07, 2019",1286.8,1286.8,1286.6,1286.8,1286.8,2
GC=F,"Jan 04, 2019",1294.2,1294.2,1275.3,1282.7,1282.7,34
GC=F,"Jan 03, 2019",1286.8,1292,1286.7,1291.8,1291.8,10
GC=F,"Jan 02, 2019",1286,1286,1277.6,1281,1281,149
GC=F,"Dec 31, 2018",1278,1281.3,1277.6,1278.3,1278.3,19
GC=F,"Dec 31, 2018",1278,1281.3,1277.6,1278.3,1278.3,19
GC=F,"Dec 28, 2018",1273.5,1280.1,1273.5,1279.9,1279.9,805
GC=F,"Dec 27, 2018",1276.7,1277.3,1276.7,1277.3,1277.3,480
GC=F,"Dec 26, 2018",1269.3,1277.4,1269.2,1269.2,1269.2,63
GC=F,"Dec 24, 2018",1260.3,1268.5,1260.3,1267.5,1267.5,27
GC=F,"Dec 22, 2018",12a60.3,1261.3,1253.8,1253.8,12awex53.8,96
GC=F,"Dec 21, 2018",1260.3,1261.3,1253.8,1253.8,1253.8,96
GC=F,"Dec 20, 2018",1243.2,1263.6,1243.2,1263.6,1263.6,49
GC=F,"Dec 19, 2018",1255.8,1255.8,1252.1,1252.1,1252.1,268
GC=F,"Dec 18, 2018",1248.2,1249.2,1245.6,1249.2,1249.2,31
GC=F,"Dec 17, 2018",1239.3,1247.4,1239.3,1247.4,1247.4,10
GC=F,"Dec 14, 2018",1241.7,1241.7,1234.1,1237,1237,33
GC=F,"Dec 13, 2018",1243.5,1243.5,1241,1242.7,1242.7,194
GC=F,"Dec 12, 2018",1245.3,1245.6,1244.1,1244.4,1244.4,84
GC=F,"Dec 11, 2018",1245.8,1248.7,1241.5,1241.9,1241.9,117
GC=F,"Dec 10, 2018",1249.6,1249.6,1241.7,1243.7,1243.7,131
GC=F,-,1238.3,1249.8,1237.6,1246.8,-,211
GC=F,"Dec 07, 2018",1238.3,1249.8,1237.6,1246.8,1246.8,211
GC=F,"Dec 06, 2018",1237.5,1244.4,1234.8,1238.1,1238.1,434
GC=F,"Dec 04, 2018",1231,1241.4,1230.4,1241.1,1241.1,474
GC=F,"Dec 03, 2018",1222.5,1234.1,1221.3,1233.9,1233.9,751
GC=F,"Nov 30, 2018",1224.1,1225,1216.1,1220.2,1220.2,2060
GC=F,"Nov 29, 2018",1221,1228.7,1220.5,1224.1,1224.1,55478
GC=F,"Nov 28, 2018",1211.5,1221.4,1211.5,1221.4,1221.4,247168
GC=F,"Nov 27, 2018",1221.9,1222,1211.2,1211.2,1211.2,5
GC=F,"Nov 27, 2018",1221.9,1222,1211.2,1211.2,1211.2,5
GC=F,"Nov 26, 2018",1220.2,1222,1220.2,1220.2,1220.2,2
GC=F,"Nov 23, 2018",1224.8,1224.8,1221,1221,1221,1
GC=F,"Nov 21, 2018",1225.8,1225.8,1225.8,1225.8,1225.8,-
GC=F,"Nov 20, 2018",1225.3,1228.8,1219,1219,1219,12
GC=F,"Nov 19, 2018",1223.1,1223.1,1223.1,1223.1,1223.1,-
GC=F,"Nov 27, 2018",1221.9,1222,1211.2,1211.2,1211.2,5
GC=F,"Nov 16, 2018",1216.7,1223.8,1216.7,1220.8,1220.8,5
GC=F,"Nov 15, 2018",1212.8,1212.8,1212.8,1212.8,1212.8,-
GC=F,"Nov 14, 2018",1207.9,1207.9,1207.9,1207.9,1207.9,-
GC=F,"Nov 13, 2018",1196.3,1201.3,1196.3,1199.2,1199.2,5
GC=F,"Nov 12, 2018",1201.6,1201.6,1201.3,1201.3,1201.3,1
GC=F,"Nov 09, 2018",1207.9,1207.9,1206.4,1206.4,1206.4,14
GC=F,"Nov 08, 2018",1222.9,1222.9,1222.9,1222.9,1222.9,2
GC=F,"Nov 07, 2018",1228.6,1228.6,1226.2,1226.2,1226.2,1
