name,date,market_cap,volume,open,close
Bitcoin,2019-11-06,"
$167,676,477,991
","
$30,247,351,916
","
$9,300.37
","
$9,340.05
"
Bitcoin,2019-11-05,"
$169,099,256,442
","
$30,915,689,706
","
$9,378.95
","
$9,300.37
"
Bitcoin,2019-11-04,"
$166,118,344,448
","
$24,204,135,433
","
$9,204.29
","
$9,378.95
"
Bitcoin,2019-11-03,"
$167,702,162,283
","
$24,723,381,192
","
$9,302.83
","
$9,204.29
"
Bitcoin,2019-11-02,"
$166,428,932,045
","
$28,239,184,319
","
$9,233.41
","
$9,302.83
"
Bitcoin,2019-11-01,"
$165,197,797,837
","
$30,452,200,168
","
$9,151.82
","
$9,233.41
"
Bitcoin,2019-10-31,"
$165,289,440,819
","
$30,846,909,824
","
$9,171.87
","
$9,151.82
"
Bitcoin,2019-10-30,"
$169,552,821,617
","
$32,395,177,165
","
$9,407.16
","
$9,171.87
"
Bitcoin,2019-10-29,"
$166,074,573,773
","
$36,102,429,175
","
$9,239.90
","
$9,407.16
"
Bitcoin,2019-10-28,"
$171,191,596,562
","
$38,396,780,064
","
$9,502.02
","
$9,239.90
"
Bitcoin,2019-10-27,"
$166,118,326,255
","
$49,973,845,767
","
$9,217.24
","
$9,502.02
"
Bitcoin,2019-10-26,"
$155,391,555,503
","
$33,573,878,836
","
$8,652.03
","
$9,217.24
"
Bitcoin,2019-10-25,"
$133,881,191,476
","
$18,827,850,067
","
$7,433.92
","
$8,652.03
"
Bitcoin,2019-10-24,"
$134,533,554,377
","
$23,372,887,463
","
$7,468.53
","
$7,433.92
"
Bitcoin,2019-10-23,"
$144,778,678,026
","
$19,789,278,104
","
$8,045.29
","
$7,468.53
"
Bitcoin,2019-10-22,"
$147,972,317,569
","
$17,608,633,116
","
$8,220.92
","
$8,045.29
"
Bitcoin,2019-10-21,"
$147,845,092,520
","
$18,477,598,770
","
$8,208.36
","
$8,220.92
"
Bitcoin,2019-10-20,"
$143,016,860,664
","
$16,704,267,725
","
$7,949.80
","
$8,208.36
"
Bitcoin,2019-10-19,"
$143,241,128,773
","
$18,867,966,948
","
$7,957.31
","
$7,949.80
"
Bitcoin,2019-10-18,"
$145,395,122,717
","
$17,154,383,747
","
$8,079.93
","
$7,957.31
"
Bitcoin,2019-10-17,"
$144,153,894,666
","
$18,700,096,465
","
$8,010.30
","
$8,079.93
"
Bitcoin,2019-10-16,"
$147,132,917,996
","
$17,879,549,109
","
$8,175.86
","
$8,010.30
"
Bitcoin,2019-10-15,"
$150,188,449,071
","
$17,384,052,861
","
$8,347.35
","
$8,175.86
"
Bitcoin,2019-10-14,"
$149,295,847,367
","
$17,006,193,532
","
$8,289.50
","
$8,347.35
"
Bitcoin,2019-10-13,"
$149,460,560,799
","
$18,009,645,881
","
$8,308.47
","
$8,289.50
"
Bitcoin,2019-10-12,"
$148,684,409,190
","
$22,522,161,254
","
$8,277.85
","
$8,308.47
"
Bitcoin,2019-10-11,"
$153,974,523,119
","
$21,307,956,537
","
$8,561.52
","
$8,277.85
"
Bitcoin,2019-10-10,"
$154,173,400,068
","
$21,622,617,283
","
$8,573.06
","
$8,561.52
"
Bitcoin,2019-10-09,"
$147,101,302,075
","
$19,349,468,269
","
$8,180.69
","
$8,573.06
"
Bitcoin,2019-10-08,"
$147,113,201,630
","
$21,702,135,919
","
$8,182.25
","
$8,180.69
"
Bitcoin,2019-10-07,"
$141,846,566,055
","
$16,860,212,059
","
$7,890.23
","
$8,182.25
"
Bitcoin,2019-10-06,"
$146,326,858,013
","
$16,751,341,178
","
$8,140.24
","
$7,890.23
"
Bitcoin,2019-10-05,"
$146,603,545,122
","
$16,931,274,118
","
$8,156.52
","
$8,140.24
"
Bitcoin,2019-10-04,"
$146,959,035,400
","
$17,383,555,314
","
$8,176.35
","
$8,156.52
"
Bitcoin,2019-10-03,"
$150,093,691,782
","
$17,676,173,879
","
$8,350.13
","
$8,176.35
"
Bitcoin,2019-10-02,"
$150,346,803,071
","
$17,832,872,037
","
$8,366.50
","
$8,350.13
"
Bitcoin,2019-10-01,"
$148,699,326,425
","
$21,681,424,235
","
$8,271.29
","
$8,366.50
"
Bitcoin,2019-09-30,"
$144,886,125,388
","
 $16,673,592,220
","
$8,064.38
","
$8,271.29
"
Bitcoin,2019-09-29,"
$147,518,938,470
","
$17,936,691,398
","
$8,225.11
","
$8,064.38
"
Bitcoin,2019-09-28,"
$147,034,755,882
","
$19,755,414,533
","
$8,183.48
","
$8,225.11
"
Bitcoin,2019-09-27,"
$145,450,672,157
","
$22,627,889,544
","
$8,098.81
","
$8,183.48
"
Bitcoin,2019-09-26,"
$151,968,918,856
","
$25,000,732,108
","
$8,446.24
","
$8,098.81
"
Bitcoin,2019-09-25,"
$158,225,996,381
","
$27,762,368,999
","
$8,702.71
","
$8,446.24
"
Bitcoin,2019-09-24,"
$174,073,117,683
","
$17,797,331,462
","
$9,699.50
","
$8,702.71
"
Bitcoin,2019-09-23,"
$180,261,864,538
","
$16,268,084,727
","
$10,041.30
","
$9,699.50
"
Bitcoin,2019-09-22,"
$179,541,584,401
","
$15,973,816,316
","
$9,997.20
","
$10,041.30
"
Bitcoin,2019-09-21,"
$182,621,118,150
","
$17,281,137,872
","
$10,178.44
","
$9,997.20
"
