,0,1,2,3,4,5
0,Name,Date,Market Cap,Volume,Open,Close
268,Bitcoin,2021-02-07,732453192637.0,57076868562.0,39279.0,38833.0
269,Bitcoin,2021-02-06,706320162929.0,47446256482.0,38008.0,39279.0
270,Bitcoin,2021-02-05,686453802173.0,54494811707.0,36817.0,38008.0
271,Bitcoin,2021-02-04,695794870716.0,49762137494.0,37495.0,36817.0
272,Bitcoin,2021-02-03,660664104637.0,50730704377.0,35486.0,37495.0
273,Bitcoin,2021-02-02,621908231690.0,49268860243.0,33406.0,35486.0
274,Bitcoin,2021-02-01,615013848827.0,42488649643.0,33065.0,33406.0
275,Bitcoin,2021-01-31,636624676861.0,52001249491.0,34200.0,33065.0
276,Bitcoin,2021-01-30,635688668064.0,97468515525.0,34151.0,34200.0
277,Bitcoin,2021-01-29,616625386428.0,51075972572.0,33128.0,34151.0
278,Bitcoin,2021-01-28,566661443732.0,51514291052.0,30446.0,33128.0
279,Bitcoin,2021-01-27,606573549810.0,48489676580.0,32582.0,30446.0
280,Bitcoin,2021-01-26,602517850752.0,50410553261.0,32375.0,32582.0
281,Bitcoin,2021-01-25,600595408892.0,42810544126.0,32274.0,32375.0
282,Bitcoin,2021-01-24,596744391345.0,43575409685.0,32068.0,32274.0
283,Bitcoin,2021-01-23,613271077002.0,69549742252.0,32958.0,32068.0
284,Bitcoin,2021-01-22,575205510268.0,69415314298.0,30914.0,32958.0
285,Bitcoin,2021-01-21,662434464441.0,58406615612.0,35587.0,30914.0
286,Bitcoin,2021-01-20,671734819189.0,51736994549.0,36105.0,35587.0
287,Bitcoin,2021-01-19,682647247200.0,46769030147.0,36595.0,36105.0
288,Bitcoin,2021-01-18,672291934493.0,50749258739.0,35804.0,36595.0
289,Bitcoin,2021-01-17,674660879866.0,55054325262.0,36255.0,35804.0
290,Bitcoin,2021-01-16,684304915288.0,63450740093.0,36788.0,36255.0
291,Bitcoin,2021-01-15,729751433670.0,57519444622.0,39233.0,36788.0
292,Bitcoin,2021-01-14,696668634091.0,65278944794.0,37456.0,39233.0
293,Bitcoin,2021-01-13,629751630408.0,68954134557.0,33938.0,37456.0
294,Bitcoin,2021-01-12,663380898829.0,111691569520.0,35670.0,33938.0
295,Bitcoin,2021-01-11,714078952009.0,73381123613.0,38398.0,35670.0
296,Bitcoin,2021-01-10,749347201463.0,55921808672.0,40297.0,38398.0
297,Bitcoin,2021-01-09,758971014787.0,82846468856.0,40816.0,40297.0
298,Bitcoin,2021-01-08,735339707368.0,78642959829.0,39547.0,40816.0
299,Bitcoin,2021-01-07,682743683563.0,71027195898.0,36934.0,39547.0
300,Bitcoin,2021-01-06,633651671519.0,67420500716.0,34082.0,36934.0
301,Bitcoin,2021-01-05,585726270249.0,74657165356.0,31516.0,34082.0
302,Bitcoin,2021-01-04,613616917626.0,178894068361.0,33008.0,31516.0
303,Bitcoin,2021-01-03,597887713054.0,57273436641.0,32164.0,33008.0
304,Bitcoin,2021-01-02,545593282215.0,34089717988.0,29352.0,32164.0
305,Bitcoin,2021-01-01,539438036436.0,43503516563.0,29022.0,29352.0
306,Bitcoin,2020-12-31,535967306918.0,43341140482.0,28837.0,29022.0
307,Bitcoin,2020-12-30,509680257177.0,38081840206.0,27425.0,28837.0
308,Bitcoin,2020-12-29,503712223154.0,42186521237.0,27125.0,27425.0
309,Bitcoin,2020-12-28,493427450341.0,56654980596.0,26423.0,27125.0
310,Bitcoin,2020-12-27,491978602970.0,41995154623.0,26476.0,26423.0
311,Bitcoin,2020-12-26,458416319552.0,36622874230.0,24671.0,26476.0
312,Bitcoin,2020-12-25,441614502954.0,36826373659.0,23760.0,24671.0
313,Bitcoin,2020-12-24,433051601801.0,42917744240.0,23308.0,23760.0
314,Bitcoin,2020-12-23,441752551013.0,38733771616.0,23795.0,23308.0
315,Bitcoin,2020-12-22,424329939582.0,38423396405.0,22841.0,23795.0
316,Bitcoin,2020-12-21,436893169133.0,32907758818.0,23518.0,22841.0
317,Bitcoin,2020-12-20,443289431125.0,35252972900m.0,23864.0,23518.0
318,Bitcoin,2020-12-19,429459534590.0,37000188847.0,23121.0,23864.0
319,Bitcoin,2020-12-18,423587689809.0,60693764159.0,22806.0,23121.0
320,Bitcoin,2020-12-17,396179736656.0,39062639738.0,21318.0,22806.0
321,Bitcoin,2020-12-16,360542942205.0,24173322660.0,19432.36,21318.0
322,Bitcoin,2020-12-15,357681110300.0,21638023120.0,19259.97,19432.36
323,Bitcoin,2020-12-14,355642790361.0,23550581096.0,19151.13,19259.97
324,Bitcoin,2020-12-13,349235537026.0,21918803314.0,18807.1,19151.13
325,Bitcoin,2020-12-12,335310805699.0,26080197328.0,18058.03,18807.1
326,Bitcoin,2020-12-11,339714540194.0,24092658534.0,18262.06,18058.03
327,Bitcoin,2020-12-10,344693077430.0,29806757749.0,18564.99,18262.06
328,Bitcoin,2020-12-09,340435142948.0,26799991796.0,18336.51,18564.99
329,Bitcoin,2020-12-08,356587934226.0,22034483384.0,19198.81,18336.51
330,Bitcoin,2020-12-07,358762118305.0,21832193873.0,19325.55,19198.81
331,Bitcoin,2020-12-06,355244908735.0,23333284386.0,19139.11,19325.55
332,Bitcoin,2020-12-05,347850442857.0,26369871383.0,18711.23,19139.11
333,Bitcoin,2020-12-04,360661550057.0,24342606871.0,19435.2,18711.23
334,Bitcoin,2020-12-03,356517705143.0,28923102075.0,19208.4,19435.2
335,Bitcoin,2020-12-02,349587593227.0,38614628144.0,18857.42,19208.4
336,Bitcoin,2020-12-01,363927715779.0,36160827241.0,19609.52,18857.42
337,Bitcoin,2020-11-30,336495192223.0,23940328529.0,18169.95,19609.52
338,Bitcoin,2020-11-29,328812520406.0,24501260966.0,17718.97,18169.95
339,Bitcoin,2020-11-28,318057301370.0,30680336583.0,17140.28,17718.97
340,Bitcoin,2020-11-27,317999016791.0,48738957777.0,17138.03,17140.28
341,Bitcoin,2020-11-26,348158099247.0,32146102840.0,18753.29,17138.03
342,Bitcoin,2020-11-25,354209935574.0,49429532567.0,19091.52,18753.29
343,Bitcoin,2020-11-24,340635146714.0,33389683851.0,18360.69,19091.52
