date,name,market_cap,perc_market_cap,volume,perc_volume,open,perc_open,close,perc_close,gain_loss,time_stamps
2019-04-05,Bitcoin,86482892583.0,-0.01358,23773239681.0,-0.14609,4899.02,-0.01146,5014.96,0.02367,115.94,2021-12-07
2019-04-04,Bitcoin,87673795384.0,0.01709,27840300619.0,0.14844,4955.83,0.01925,4899.02,-0.01146,-56.81,2021-12-07
2019-04-03,Bitcoin,86200568433.0,0.17975,24241877355.0,0.956,4862.23,0.17266,4955.83,0.01925,93.6,2021-12-07
2019-04-02,Bitcoin,73066822742.0,0.01046,12393581267.0,0.27375,4146.32,0.01043,4862.23,0.17266,715.91,2021-12-07
2019-04-01,Bitcoin,72310769858.0,7e-05,9729996888.0,-0.25199,4103.52,-8e-05,4146.32,0.01043,42.8,2021-12-07
2019-03-31,Bitcoin,72305792937.0,4e-05,13007834060.0,-0.20395,4103.86,0.00013,4103.52,-8e-05,-0.34,2021-12-07
2019-03-30,Bitcoin,72303023146.0,0.0189,16340416942.0,0.0778,4103.32,0.0186,4103.86,0.00013,0.54,2021-12-07
2019-03-29,Bitcoin,70961529493.0,-0.00244,15160882531.0,-0.06506,4028.39,-0.00193,4103.32,0.0186,74.93,2021-12-07
2019-03-28,Bitcoin,71134892682.0,0.02546,16215886403.0,-0.16309,4036.16,0.02475,4028.39,-0.00193,-7.77,2021-12-07
2019-03-27,Bitcoin,69368692535.0,0.00235,19375985748.0,0.81743,3938.66,0.00282,4036.16,0.02475,97.5,2021-12-07
2019-03-26,Bitcoin,69206266249.0,-0.01598,10661215003.0,0.07864,3927.58,-0.01648,3938.66,0.00282,11.08,2021-12-07
2019-03-25,Bitcoin,70330401860.0,-0.0022,9883972401.0,0.07353,3993.39,-0.00388,3927.58,-0.01648,-65.81,2021-12-07
2019-03-24,Bitcoin,70485598084.0,0.00368,9206940725.0,-0.02101,4008.95,0.00496,3993.39,-0.00388,-15.56,2021-12-07
2019-03-23,Bitcoin,70227188529.0,0.00074,9404569963.0,-0.04479,3989.16,0.00147,4008.95,0.00496,19.79,2021-12-07
2019-03-22,Bitcoin,70175421257.0,-0.01451,9845582434.0,0.07752,3983.32,-0.01539,3989.16,0.00147,5.84,2021-12-07
2019-03-21,Bitcoin,71208656537.0,0.00836,9137227916.0,0.21767,4045.57,0.00797,3983.32,-0.01539,-62.25,2021-12-07
2019-03-20,Bitcoin,70618508802.0,0.00665,7503839511.0,-0.01776,4013.58,0.00674,4045.57,0.00797,31.99,2021-12-07
2019-03-19,Bitcoin,70152235369.0,0.00144,7639543945.0,0.16932,3986.71,0.00144,4013.58,0.00674,26.87,2021-12-07
2019-03-18,Bitcoin,70051219293.0,-0.00632,6533306537.0,-0.22804,3980.99,-0.00667,3986.71,0.00144,5.72,2021-12-07
2019-03-17,Bitcoin,70497099778.0,0.02123,8463266885.0,0.0375,4007.71,0.02095,3980.99,-0.00667,-26.72,2021-12-07
2019-03-16,Bitcoin,69031558676.0,0.01252,8157372615.0,-0.05262,3925.46,0.01258,4007.71,0.02095,82.25,2021-12-07
2019-03-15,Bitcoin,68177693410.0,0.00308,8610482287.0,0.18916,3876.7,0.00281,3925.46,0.01258,48.76,2021-12-07
2019-03-14,Bitcoin,67968370344.0,-0.00344,7240802847.0,-0.13043,3865.82,-0.00275,3876.7,0.00281,10.88,2021-12-07
2019-03-13,Bitcoin,68203157396.0,0.00322,8326845841.0,0.289,3876.48,0.00418,3865.82,-0.00275,-10.66,2021-12-07
2019-03-12,Bitcoin,67983966610.0,-0.0142,6459945402.0,-0.24677,3860.36,-0.01611,3876.48,0.00418,16.12,2021-12-07
2019-03-11,Bitcoin,68962957216.0,-0.00476,8576340544.0,-0.0437,3923.56,-0.00458,3860.36,-0.01611,-63.2,2021-12-07
2019-03-10,Bitcoin,69292799411.0,0.0203,8968209822.0,-0.04467,3941.6,0.02064,3923.56,-0.00458,-18.04,2021-12-07
2019-03-09,Bitcoin,67914021946.0,-0.00157,9387592412.0,0.53945,3861.88,-0.00252,3941.6,0.02064,79.72,2021-12-07
2019-03-08,Bitcoin,68020879276.0,0.00194,6098011810.0,-0.28068,3871.64,0.00288,3861.88,-0.00252,-9.76,2021-12-07
2019-03-07,Bitcoin,67888909504.0,0.00229,8477459044.0,-0.06719,3860.51,0.00209,3871.64,0.00288,11.13,2021-12-07
2019-03-06,Bitcoin,67733767403.0,0.03826,9088065055.0,1.51873,3852.46,0.03761,3860.51,0.00209,8.05,2021-12-07
