date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2019-04-15,63.57,64.37,62.99,64.05,64.05,547469.0,0.010252365930599305,Oil,Yahoo Finance
2019-04-16,64.32,64.61,63.66,63.76,63.76,235376.0,-0.004527712724433974,Oil,Yahoo Finance
2019-04-17,63.75,64.16,63.46,64.0,64.0,148238.0,0.0037641154328733606,Oil,Yahoo Finance
2019-04-18,63.75,64.16,63.46,64.0,64.0,148238.0,0.0,Oil,Yahoo Finance
2019-04-19,63.75,64.16,63.46,64.0,64.0,148238.0,0.0,Oil,Yahoo Finance
2019-04-20,63.75,64.16,63.46,64.0,64.0,148238.0,0.0,Oil,Yahoo Finance
2019-04-21,64.0,65.92,64.0,65.7,65.7,763527.0,0.026562500000000044,Oil,Yahoo Finance
2019-04-22,65.75,66.6,65.58,66.3,66.3,700598.0,0.00913242009132409,Oil,Yahoo Finance
2019-04-23,66.17,66.43,65.66,65.89,65.89,678386.0,-0.006184012066364986,Oil,Yahoo Finance
2019-04-24,65.81,66.28,64.9,65.21,65.21,603001.0,-0.010320230687509535,Oil,Yahoo Finance
2019-04-25,65.13,65.18,62.28,63.3,63.3,1000836.0,-0.029289986198435813,Oil,Yahoo Finance
2019-04-26,65.13,65.18,62.28,63.3,63.3,1000836.0,0.0,Oil,Yahoo Finance
2019-04-27,65.13,65.18,62.28,63.3,63.3,1000836.0,0.0,Oil,Yahoo Finance
2019-04-28,62.95,63.69,62.46,63.5,63.5,654076.0,0.003159557661927437,Oil,Yahoo Finance
2019-04-29,63.58,64.75,63.3,63.91,63.91,750494.0,0.0064566929133857975,Oil,Yahoo Finance
2019-04-30,63.4,63.93,62.77,63.6,63.6,676872.0,-0.0048505711156312525,Oil,Yahoo Finance
2019-05-01,63.61,63.68,60.95,61.81,61.81,914661.0,-0.028144654088050336,Oil,Yahoo Finance
2019-05-02,61.55,62.52,61.3,61.94,61.94,646866.0,0.002103219543763135,Oil,Yahoo Finance
2019-05-03,61.55,62.52,61.3,61.94,61.94,646866.0,0.0,Oil,Yahoo Finance
2019-05-04,61.55,62.52,61.3,61.94,61.94,646866.0,0.0,Oil,Yahoo Finance
2019-05-05,61.43,62.95,60.04,62.25,62.25,768810.0,0.005004843396835712,Oil,Yahoo Finance
2019-05-06,62.17,62.49,60.66,61.4,61.4,842810.0,-0.013654618473895597,Oil,Yahoo Finance
2019-05-07,61.44,62.37,61.07,62.12,62.12,791769.0,0.011726384364820763,Oil,Yahoo Finance
2019-05-08,62.02,62.21,60.92,61.7,61.7,769583.0,-0.006761107533805433,Oil,Yahoo Finance
2019-05-09,61.64,62.49,61.42,61.66,61.66,786494.0,-0.0006482982171800433,Oil,Yahoo Finance
2019-05-10,61.64,62.49,61.42,61.66,61.66,786494.0,0.0,Oil,Yahoo Finance
2019-05-11,61.64,62.49,61.42,61.66,61.66,786494.0,0.0,Oil,Yahoo Finance
2019-05-12,61.65,63.33,60.64,61.04,61.04,1003106.0,-0.010055141096334652,Oil,Yahoo Finance
2019-05-13,60.86,62.11,60.69,61.78,61.78,751668.0,0.012123197903014526,Oil,Yahoo Finance
