,Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
87,^IXIC,"Aug 27, 2020","11,688.19","11,730.01","11,551.01","11,625.34","11,625.34","3,535,800,000"
88,^IXIC,"Aug 26, 2020","11,516.62","11,672.05","11,507.46","11,665.06","11,665.06","3,441,550,000"
89,^IXIC,"Aug 25, 2020","11,370.23","11,468.26","11,343.04","11,466.47","11,466.47","3,454,500,000"
90,^IXIC,"Aug 24, 2020","11,449.25","11,462.05","11,297.53","11,379.72","11,379.72","3,885,880,000"
91,^IXIC,"Aug 21, 2020","11,258.44","11,326.21","11,245.44","11,311.80","11,311.80","3,905,670,000"
92,^IXIC,"Aug 20, 2020","11,096.40","11,283.62","11,090.03","11,264.95","11,264.95","4,170,980,000"
93,^IXIC,"Aug 19, 2020","11,214.80","11,257.42","11,132.10","11,146.46","11,146.46","3,467,890,000"
94,^IXIC,"Aug 18, 2020","11,170.75","11,230.62","11,103.83","11,210.84","11,210.84","3,199,470,000"
95,^IXIC,"Aug 17, 2020","11,083.25","11,144.53","11,080.30","11,129.73","11,129.73","3,193,160,000"
96,^IXIC,"Aug 14, 2020","11,042.24","11,058.44","10,972.06","11,019.30","11,019.30","3,491,320,000"
97,^IXIC,"Aug 13, 2020","11,026.86","11,124.85","11,007.50","11,042.50","11,042.50","3,444,140,000"
98,^IXIC,"Aug 12, 2020","10,878.12","11,036.72","10,877.16","11,012.24","11,012.24","3,716,840,000"
99,^IXIC,"Aug 11, 2020","10,942.66","10,989.42","10,762.71","10,782.82","10,782.82","4,303,980,000"
