symbol,date,open,high,low,close,adjusted Close,volume
symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Mar 20, 2019",59.99,60.39,59.66,59.98,59.98,"655,380"
CL=F,"Mar 19, 2019",59.02,60.12,58.39,59.83,59.83,"786,342"
CL=F,"Mar 18, 2019",59.01,59.57,58.62,59.03,59.03,"114,822"
CL=F,"Mar 17, 2019",58.45,59.23,58.05,59.09,59.09,"157,241"
CL=F,"Mar 14, 2019",58.51,58.95,57.74,58.52,58.52,"507,393"
CL=F,"Mar 13, 2019",58.35,58.74,58.00,58.61,58.61,"567,604"
CL=F,"Mar 12, 2019",57.09,58.48,57.01,58.26,58.26,"610,616"
CL=F,"Mar 11, 2019",56.76,57.55,56.74,56.87,56.87,"652,798"
CL=F,"Mar 10, 2019",56.07,57.01,55.96,56.79,56.79,"597,156"
CL=F,"Mar 08, 2019",56.43,56.51,54.52,56.07,56.07,"747,358"
CL=F,"Mar 07, 2019",56.20,56.99,56.08,56.66,56.66,"628,824"
CL=F,"Mar 06, 2019",56.28,56.40,55.42,56.22,56.22,"637,677"
CL=F,"Mar 05, 2019",56.45,57.19,56.09,56.56,56.56,"538,399"
CL=F,"Mar 04, 2019",55.83,57.00,55.81,56.59,56.59,"549,396"
CL=F,"Mar 01, 2019",57.22,57.88,55.57,55.80,55.80,"684,186"
CL=F,"Feb 28, 2019",57.00,57.43,56.43,57.22,57.22,"496,678"
CL=F,"Feb 27, 2019",55.95,57.39,55.72,56.94,56.94,"577,227"
CL=F,"Feb 26, 2019",55.46,56.08,55.02,55.50,55.50,"538,919"
CL=F,"Feb 25, 2019",57.17,57.53,55.08,55.48,55.48,"723,012"
CL=F,"Feb 22, 2019",56.84,57.81,56.71,57.26,57.26,"513,439"
CL=F,"Feb 21, 2019",57.24,57.61,56.64,56.96,56.96,"546,202"
CL=F,"Feb 20, 2019",55.94,57.55,55.48,56.92,56.92,"685,111"
CL=F,"Feb 19, 2019",55.78,56.33,55.29,56.09,56.09,"153,728"
