date,market_cap,close,%_close,gain/loss
2021-04-17,1149602869702.0,60274.0,-1.989,-1223.0
2021-04-18,1125592412523.0,56289.0,-6.611,-3985.0
2021-04-19,1053618163310.0,55721.0,-1.009,-568.0
2021-04-20,1043148020633.0,56295.0,1.03,574.0
2021-04-21,1055145534127.0,54190.0,-3.739,-2105.0
2021-04-22,1012699264346.0,51966.0,-4.104,-2224.0
2021-04-23,971174701493.0,51191.0,-1.491,-775.0
2021-04-24,956744203682.0,50133.0,-2.067,-1058.0
2021-04-25,937014999515.0,48981.0,-2.298,-1152.0
2021-04-26,915533819859.0,53979.0,10.204,4998.0
2021-04-27,1008389773190.0,54992.0,1.877,1013.0
2021-04-28,1027617870422.0,54811.0,-0.329,-181.0
2021-04-29,1024625833392.0,53597.0,-2.215,-1214.0
2021-04-30,1001973605935.0,57829.0,7.896,4232.0
2021-05-01,1082721727348.0,57813.0,-0.028,-16.0
2021-05-02,1080897634123.0,56601.0,-2.096,-1212.0
2021-05-03,1057850321949.0,57200.0,1.058,599.0
2021-05-04,1069571255196.0,53464.0,-6.531,-3736.0
2021-05-05,999775008412.0,57432.0,7.422,3968.0
2021-05-06,1070969079354.0,56508.0,-1.609,-924.0
2021-05-07,1056801053575.0,57362.0,1.511,854.0
2021-05-08,1072831991777.0,58772.0,2.458,1410.0
2021-05-09,1099271802311.0,58214.0,-0.949,-558.0
2021-05-10,1088903483393.0,55902.0,-3.972,-2312.0
2021-05-11,1045714370754.0,56929.0,1.837,1027.0
2021-05-12,1064993057464.0,50005.0,-12.163,-6924.0
2021-05-13,935512493151.0,49973.0,-0.064,-32.0
2021-05-14,934964766186.0,49913.0,-0.12,-60.0
2021-05-15,935962705739.0,46781.0,-6.275,-3132.0
2021-05-16,875321252276.0,46585.0,-0.419,-196.0
2021-05-17,871695620616.0,43781.0,-6.019,-2804.0
2021-05-18,819256623329.0,43091.0,-1.576,-690.0
2021-05-19,800545278568.0,37287.0,-13.469,-5804.0
2021-05-20,697785056488.0,40438.0,8.451,3151.0
2021-05-21,759679496751.0,37340.0,-7.661,-3098.0
2021-05-22,698762712554.0,37520.0,0.482,180.0
2021-05-23,702143968884.0,34978.0,-6.775,-2542.0
2021-05-24,654558962028.0,38642.0,10.475,3664.0
2021-05-25,723143072420.0,38211.0,-1.115,-431.0
2021-05-26,715248689990.0,39407.0,3.13,1196.0
2021-05-27,737668726732.0,38643.0,-1.939,-764.0
2021-05-28,723137484747.0,35710.0,-7.59,-2933.0
2021-05-29,668521654365.0,34775.0,-2.618,-935.0
2021-05-30,654239808357.0,35715.0,2.703,940.0
2021-05-31,668664301774.0,37341.0,4.553,1626.0
2021-06-01,699138611681.0,36680.0,-1.77,-661.0
2021-06-02,688726381047.0,37686.0,2.743,1006.0
2021-06-03,704531333543.0,39151.0,3.887,1465.0
2021-06-04,733150718114.0,36939.0,-5.65,-2212.0
2021-06-05,691747462828.0,35547.0,-3.768,-1392.0
2021-06-06,662913486273.0,35834.0,0.807,287.0
2021-06-07,671131079524.0,33451.0,-6.65,-2383.0
2021-06-08,626527049948.0,33557.0,0.317,106.0
2021-06-09,629018966290.0,37554.0,11.911,3997.0
2021-06-10,705292677171.0,36903.0,-1.734,-651.0
2021-06-11,691681868464.0,37289.0,1.046,386.0
2021-06-12,698528023664.0,35666.0,-4.352,-1623.0
2021-06-13,668148892256.0,39148.0,9.763,3482.0
2021-06-14,733402631079.0,40625.0,3.773,1477.0
2021-06-15,761104314502.0,40378.0,-0.608,-247.0
2021-06-16,756522207420.0,38321.0,-5.094,-2057.0
2021-06-17,718016373177.0,38194.0,-0.331,-127.0
2021-06-18,715652442155.0,35881.0,-6.056,-2313.0
2021-06-19,673761687974.0,35582.0,-0.833,-299.0
2021-06-20,666901325910.0,35787.0,0.576,205.0
2021-06-21,670634370557.0,31712.0,-11.387,-4075.0
2021-06-22,598335733136.0,32508.0,2.51,796.0
2021-06-23,606580031923.0,33703.0,3.676,1195.0
2021-06-24,631634847766.0,34675.0,2.884,972.0
2021-06-25,650340461976.0,34675.0,0.0,0.0
2021-06-26,598703019611.0,32024.0,-7.645,81.0
2021-06-27,600235334321.0,34607.0,8.066,2583.0
2021-06-28,649262127990.0,34557.0,-0.144,-50.0
2021-06-29,647741224117.0,35969.0,4.086,1412.0
2021-06-30,674231340724.0,35171.0,-2.219,-798.0
2021-07-01,660200427590.0,33678.0,-4.245,-1493.0
2021-07-02,629863895572.0,33951.0,0.811,273.0
2021-07-03,633684390026.0,34730.0,2.294,779.0
